"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","N_known.perceptual","List_N.perceptual","Percent_known.perceptual","N_known.action","List_N.action","Percent_known.action","Mean_age.perceptual","Mean_age.action","List#.perceptual","List#.action"
"convergence",0.538461538,0,0.692307692,0.384615385,0,1.923076923,0.764705882,0.882352941,2.411764706,0.764705882,0.411764706,0.877058019,0,1.031553471,0.767947648,0,1.656378503,1.437420075,1.495090003,2.265469695,1.480262298,1.064120736,1.923076923,1.970981391,0.543478261,"Visual",2.411764706,2.50289914,0.382022472,"Head",2.411764706,2.857657735,0.274883961,"Head",13,16,0.8125,17,18,0.944444444444444,41.53846154,38.70588235,"PN_Sample_762.csv","MN_sample_762.csv"
"convert",1.4,0.3,0.5,0.7,0.15,2.6,0.375,0.6875,2.625,0.875,0.3125,1.535543792,0.923380517,0.827170192,1.260743306,0.489360485,1.875043859,1.024695077,1.138346754,2.334523506,1.784189825,1.01447852,2.6,2.750947332,0.433628319,"Visual",2.625,2.676150988,0.474358974,"Head",2.625,3.419506975,0.235154394,"Head",20,20,1,16,18,0.888888888888889,36.85,37.5,"PN_sample_218.csv","MN_sample_218.csv"
"cook",2.6875,2.625,2.875,0.9375,4.25,4.25,1.045454545,4.272727273,3.5,2.090909091,0.727272727,2.088659857,2.390955179,2.093641166,1.87860764,1.183215957,1.183215957,1.675517624,1.120451362,1.738910442,2.180194201,1.279204298,4.25,5.99645787,0.187943262,"Olfactory",4.272727273,5.085816452,0.3046875,"Hand_arm",4.272727273,7.028219476,0.121165049,"Hand_arm",16,16,1,22,22,1,33.125,36.31818182,"PN_Sample_614.csv","MN_sample_614.csv"
"cork",1.117647059,0.176470588,3.235294118,0.058823529,0.529411765,3.705882353,0.181818182,2.136363636,1.090909091,0.636363636,0.318181818,1.576481563,0.52859414,1.888432279,0.242535625,0.943242218,1.571810496,0.501081082,1.958995237,1.570838142,1.432462234,0.8937009,3.705882353,4.419291726,0.413333333,"Visual",2.136363636,2.246969792,0.447916667,"Hand_arm",3.705882353,4.605004776,0.276561233,"Visual",17,17,1,22,22,1,40.64705882,38.81818182,"PN_Sample_484.csv","MN_sample_484.csv"
"corner",0.648648649,0.108108108,2.378378378,0.135135135,0.162162162,3.972972973,1.368421053,1.421052632,2.210526316,0.578947368,0.947368421,1.513205138,0.515524748,2.004873941,0.673389526,0.726999676,1.404090977,1.891810606,1.952656011,2.175084861,1.426565007,1.614988277,3.972972973,4.244095034,0.52189781,"Visual",2.210526316,2.585223322,0.25,"Head",3.972972973,4.542383472,0.277414744,"Visual",37,37,1,19,19,1,39.63888889,41.94736842,"PN_Sample_700.csv","MN_sample_700.csv"
"corpse",0.222222222,0,1.555555556,0.444444444,2.611111111,4.722222222,1.55,2.4,2.75,1.3,1.8,0.732084498,0,1.68809751,1.041617646,1.974510777,0.669113158,2.187885304,2.257152375,2.221308292,2.028740859,2.142305693,4.722222222,5.026100371,0.494186047,"Visual",2.75,3.592725795,0.147959184,"Head",4.722222222,5.575718787,0.243972445,"Visual",18,19,0.947368421052632,20,20,1,33.38888889,35,"PN_Sample_166.csv","MN_sample_166.csv"
"corridor",1.058823529,0,1.470588235,0,0.470588235,4.117647059,2.714285714,1.80952381,2.095238095,0.523809524,1.142857143,1.853057886,0,1.907801322,0,1.280510009,1.363925994,1.82051798,1.749829924,2.022492569,1.123345344,1.590148241,4.117647059,4.203745394,0.578512397,"Visual",2.714285714,3.324902569,0.264367816,"Foot_leg",4.117647059,4.806517547,0.267321331,"Visual",17,17,1,21,22,0.954545454545455,36.17647059,36.76190476,"PN_Sample_542.csv","MN_sample_542.csv"
"cough",4,1,0.875,3.6875,0.9375,2.875,0.05,0.4,0.95,4.7,2.15,1.264911064,1.712697677,1.408308678,1.400892573,1.436140662,1.62788206,0.223606798,0.820782682,1.431782106,0.732695097,1.899445903,4,5.197421377,0.23364486,"Auditory",4.7,4.858469984,0.563636364,"Mouth",4.7,6.342003705,0.215028902,"Mouth",16,16,1,20,20,1,35.1875,37.3,"PN_Sample_161.csv","MN_sample_161.csv"
"count on",1.80952381,0,0.19047619,2.095238095,0,1.904761905,0.5,1.833333333,2.666666667,1.611111111,0.444444444,1.600595127,0,0.511766316,2.165750722,0,1.868281614,0.985184366,1.72353945,1.909727421,1.68519117,1.247219129,2.095238095,2.803771123,0.349206349,"Interoceptive",2.666666667,3.090561608,0.31496063,"Head",2.666666667,3.721966604,0.204255319,"Head",21,21,1,18,18,1,36.85714286,38.5,"PN_Sample_306.csv","MN_sample_306.csv"
"couple",1.882352941,0,0.176470588,0.352941176,0,3.941176471,0.894736842,1.473684211,1.736842105,1.368421053,0.684210526,1.363925994,0,0.52859414,0.785905248,0,1.29762226,1.594948165,1.925513526,2.104020101,2.005839428,1.416279617,3.941176471,4.080392241,0.62037037,"Visual",1.736842105,2.291901382,0.170940171,"Head",3.941176471,4.30843538,0.315021034,"Visual",17,17,1,19,19,1,36.76470588,33.15789474,"PN_Sample_354.csv","MN_sample_354.csv"
"courage",1.941176471,0,0.588235294,2.823529412,0,2.823529412,1.428571429,1.666666667,4.142857143,2.238095238,1.904761905,1.951620744,0,1.277635684,2.297697057,0,2.007339474,1.85933936,1.957890021,1.424279266,2.022492569,1.89485519,2.823529412,3.74534813,0.345323741,"Interoceptive",4.142857143,4.591090426,0.238493724,"Head",4.142857143,5.305131882,0.211830421,"Head",17,17,1,21,21,1,37.52941176,36,"PN_Sample_668.csv","MN_sample_668.csv"
"course",1.25,0.1875,1.4375,0.375,0.25,3.3125,1.523809524,1.571428571,2.714285714,0.714285714,0.619047619,1.732050808,0.543905629,1.824600413,1.024695077,0.577350269,2.023816527,1.860619456,1.886038933,2.028370211,1.10194633,1.203170415,3.3125,3.457874863,0.458715596,"Visual",2.714285714,3.037221199,0.293333333,"Head",3.3125,4.108745001,0.223928343,"Visual",16,16,1,21,21,1,41.625,41.66666667,"PN_Sample_612.csv","MN_sample_612.csv"
"courtesy",3.166666667,0,0.111111111,1.111111111,0,2.888888889,1.238095238,2.428571429,3.714285714,3.380952381,1.428571429,1.757337558,0,0.471404521,1.745208192,0,1.604731566,1.757975026,2.014235055,1.553797192,1.883512423,1.832250763,3.166666667,3.85383848,0.435114504,"Auditory",3.714285714,4.7772363,0.203125,"Head",3.714285714,5.498771141,0.190786792,"Head",18,18,1,21,21,1,40.83333333,41.19047619,"PN_Sample_370.csv","MN_sample_370.csv"
